epoch,accuracy,loss,val_accuracy,val_loss
0,0.1027199998497963,7.0450029373168945,0.10000000149011612,2.327894449234009
1,0.09880000352859497,2.3125977516174316,0.0997999981045723,2.3158955574035645
2,0.09961999952793121,2.303865671157837,0.10010000318288803,2.3174335956573486
3,0.09876000136137009,2.302398204803467,0.10019999742507935,2.31154465675354
4,0.09793999791145325,2.3038153648376465,0.10000000149011612,2.310122013092041
5,0.09741999953985214,2.3040425777435303,0.10010000318288803,2.3057713508605957
6,0.097120001912117,2.3028132915496826,0.10000000149011612,2.3058547973632812
7,0.09830000251531601,2.302379608154297,0.10000000149011612,2.305306911468506
8,0.09848000109195709,2.3024561405181885,0.10000000149011612,2.305063009262085
9,0.09730000048875809,2.3029744625091553,0.10000000149011612,2.305053949356079
