epoch,accuracy,loss,val_accuracy,val_loss
0,0.24729999899864197,2.0381205081939697,0.43050000071525574,1.5651235580444336
1,0.3955000042915344,1.6413389444351196,0.46950000524520874,1.4696717262268066
2,0.4897199869155884,1.4164562225341797,0.4991999864578247,1.4297629594802856
3,0.553600013256073,1.2661895751953125,0.5437999963760376,1.3485074043273926
4,0.598580002784729,1.153134822845459,0.5922999978065491,1.1156699657440186
5,0.6304000020027161,1.0630759000778198,0.6470999717712402,0.9687368869781494
6,0.6547799706459045,0.9988920092582703,0.7044000029563904,0.8516333699226379
7,0.6780999898910522,0.941337525844574,0.7021999955177307,0.8592221736907959
8,0.6930000185966492,0.8958277106285095,0.7142999768257141,0.8069124221801758
9,0.7077199816703796,0.8605133891105652,0.7293000221252441,0.7758123278617859
10,0.7192599773406982,0.8273189663887024,0.7645000219345093,0.6909655928611755
11,0.7303599715232849,0.796012818813324,0.7487999796867371,0.7127470970153809
12,0.7410399913787842,0.764348030090332,0.7630000114440918,0.6950661540031433
13,0.7483599781990051,0.7432010769844055,0.7519999742507935,0.7202919721603394
14,0.7567200064659119,0.7215688824653625,0.7820000052452087,0.6540347337722778
15,0.764240026473999,0.7014495134353638,0.7878999710083008,0.621435821056366
16,0.7689599990844727,0.686120867729187,0.7771000266075134,0.6480333209037781
17,0.7754799723625183,0.6677601337432861,0.8016999959945679,0.5854858160018921
18,0.7822200059890747,0.6482729911804199,0.7868000268936157,0.6066397428512573
19,0.7890999913215637,0.6339551210403442,0.7964000105857849,0.5861901044845581
20,0.789680004119873,0.62506103515625,0.8030999898910522,0.5657910108566284
21,0.7985000014305115,0.601320207118988,0.7935000061988831,0.6027305722236633
22,0.8012199997901917,0.5874441266059875,0.8009999990463257,0.5737429857254028
23,0.8020600080490112,0.5854053497314453,0.8069000244140625,0.5607497096061707
24,0.8101999759674072,0.5642278790473938,0.8162000179290771,0.5388621091842651
